city_state,income_avg
"muscogee, ga",48080
"newton, ga",38256
"oconee, ga",71768
"oglethorpe, ga",38236
"paulding, ga",42595
"peach, ga",41931
"pickens, ga",50868
"pierce, ga",39979
"pike, ga",44311
"polk, ga",36190
"pulaski, ga",34636
"putnam, ga",48498
"quitman, ga",34810
"rabun, ga",44160
"randolph, ga",37204
"richmond, ga",41999
"rockdale, ga",40051
"schley, ga",35588
"screven, ga",37694
"seminole, ga",48082
"spalding, ga",38792
"stephens, ga",40153
"stewart, ga",25041
"sumter, ga",40387
"talbot, ga",38621
"taliaferro, ga",36860
"tattnall, ga",30222
"taylor, ga",33630
"telfair, ga",22644
"terrell, ga",44976
"thomas, ga",49443
"tift, ga",42279
"toombs, ga",40041
"towns, ga",42908
"treutlen, ga",31899
"troup, ga",40920
"turner, ga",39281
"twiggs, ga",44686
"union, ga",39839
"upson, ga",39391
"walker, ga",36157
"walton, ga",44977
"ware, ga",37306
"warren, ga",39545
"washington, ga",39151
"wayne, ga",34877
"webster, ga",36032
"wheeler, ga",21087
"white, ga",38858
"whitfield, ga",43456
"wilcox, ga",29895
"wilkes, ga",42093
"wilkinson, ga",40158
"worth, ga",39102
"honolulu, hi",62793
"kauai, hi",54089
"maui + kalawao, hi",51838
"ada, id",57215
"adams, id",41066
"bannock, id",41272
"bear lake, id",46370
"benewah, id",42803
"bingham, id",42541
"blaine, id",117681
"boise, id",45422
"bonner, id",44751
"bonneville, id",54601
"boundary, id",39272
"butte, id",51370
"camas, id",53373
"canyon, id",37611
"caribou, id",48595
"cassia, id",51149
"clark, id",47615
"clearwater, id",39140
"custer, id",48718
"elmore, id",42033
"franklin, id",40495
"fremont, id",40803
"gem, id",42561
"gooding, id",68597
"idaho, id",39182
"jefferson, id",40288
"jerome, id",42332
"kootenai, id",48953
"latah, id",43944
"lemhi, id",47981
"lewis, id",54918
"lincoln, id",45593
"madison, id",30838
"minidoka, id",46743
"nez perce, id",50550
"oneida, id",43117
"owyhee, id",42616
"payette, id",44312
"power, id",52807
"shoshone, id",40953
"teton, id",43521
"twin falls, id",44112
"valley, id",52298
"washington, id",40050
"adams, il",51779
"alexander, il",43272
"bond, il",41745
"boone, il",51066
"brown, il",41094
"bureau, il",47081
"calhoun, il",47665
"carroll, il",50871
"cass, il",48079
"champaign, il",49187
"christian, il",46873
"clark, il",46560
"clay, il",45559
"clinton, il",51095
"coles, il",45967
"cook, il",69935
"crawford, il",50986
"cumberland, il",80116
"de witt, il",53339
"dekalb, il",45555
"douglas, il",55721
"dupage, il",79127
"edgar, il",48411
"edwards, il",45295
"effingham, il",54838
"fayette, il",40786
"ford, il",58512
"franklin, il",41625
"fulton, il",42264
"gallatin, il",48856
"greene, il",42437
"grundy, il",61862
"hamilton, il",48255
"hancock, il",51388
"hardin, il",40720
"henderson, il",48805
"henry, il",51103
"iroquois, il",51824
"jackson, il",40297
"jasper, il",48090
"jefferson, il",44163
"jersey, il",46828
"jo daviess, il",53399
"johnson, il",39793
"kane, il",55976
"kankakee, il",46988
"kendall, il",53998
"knox, il",44921
"lake, il",85159
"lasalle, il",49292
"lawrence, il",35878
"lee, il",47249
"livingston, il",52100
"logan, il",41682
"macon, il",52196
"macoupin, il",45948
"madison, il",51433
"marion, il",46966
"marshall, il",51165
"mason, il",47178
"massac, il",44089
"mcdonough, il",41685
"mchenry, il",60097
"mclean, il",54639
"menard, il",51028
"mercer, il",53966
"monroe, il",61366
"montgomery, il",40180
"morgan, il",43763
"moultrie, il",69297
"ogle, il",50110
"peoria, il",54609
"perry, il",41366
"piatt, il",59952
"pike, il",47052
"pope, il",33286
"pulaski, il",43533
"putnam, il",66839
"randolph, il",41919
"richland, il",46318
"rock island, il",48492
"saline, il",44321
"sangamon, il",52891
"schuyler, il",49505
"scott, il",47152
"shelby, il",45745
"st. clair, il",49646
"stark, il",51267
"stephenson, il",46534
"tazewell, il",51920
