ship_city_state,transaction_count,sum_trans_amount,avg_trans_amount
"commack, ny",17,11715.58,689.15
"hyde park, ma",7,5654.63,807.80
"ingleside, il",4,1850.88,462.72
"laurelton, ny",1,325.54,325.54
"mount holly springs, pa",3,2885.32,961.77
"aromas, ca",6,12822.32,2137.05
"grand junction, ia",1,1642.45,1642.45
"bainbridge, ga",3,1794.96,598.32
"sikeston, mo",9,7252.00,805.78
"punta gorda, fl",28,18698.70,667.81
"kingston, nh",4,3049.00,762.25
"macomb, il",3,2748.75,916.25
"emmaus, pa",10,9856.94,985.69
"renner, sd",4,2027.31,506.83
"brimfield, ma",6,4202.19,700.37
"edwardsville, ks",1,995.17,995.17
"oak creek, wi",26,31426.94,1208.73
"coos bay, or",14,18862.99,1347.36
"imperial, mo",10,8712.00,871.20
"la porte, tx",6,3855.89,642.65
"springdale, pa",2,1108.52,554.26
"marseilles, il",2,1516.19,758.10
"valley grande, al",10,2201.82,220.18
"malta, ny",5,2973.53,594.71
"freedom, pa",2,1277.30,638.65
"south easton, ma",7,4480.25,640.04
"kailua, hi",18,26977.51,1498.75
"middletown, oh",10,10246.65,1024.67
"marion, oh",11,17152.48,1559.32
"henniker, nh",4,3537.00,884.25
"curtis bay, md",1,380.54,380.54
"westphalia, mo",1,2338.00,2338.00
"piperton, tn",4,2259.46,564.87
"berne, in",1,127.33,127.33
"placida, fl",2,2580.00,1290.00
"lebanon, nj",13,9715.63,747.36
"bennett, co",2,351.61,175.81
"cazadero, ca",3,926.37,308.79
"niwot, co",25,20062.62,802.50
"newberry, in",1,946.95,946.95
"clarks summit, pa",5,6756.44,1351.29
"sioux center, ia",4,10395.26,2598.82
"woodstock, md",6,4871.77,811.96
"rockport, tx",5,3240.73,648.15
"ajo, az",3,2529.58,843.19
"dickson, tn",7,4844.36,692.05
"mont vernon, nh",6,2517.00,419.50
"newtonville, ma",9,6268.96,696.55
"elmont, ny",5,3944.16,788.83
"wesley, ia",1,63.13,63.13
"lake arrowhead, ca",5,3528.80,705.76
"huntington woods, mi",13,10762.18,827.86
"stockport, oh",2,223.08,111.54
"le claire, ia",6,10528.80,1754.80
"guilford, vt",2,1044.10,522.05
"englewood, fl",6,4273.85,712.31
"idyllwild-pine cove, ca",2,3219.57,1609.79
"minnetrista, mn",9,13345.46,1482.83
"gillsville, ga",1,217.21,217.21
"lake hughes, ca",1,153.30,153.30
"rosenberg, tx",10,9260.12,926.01
"le roy, mn",1,761.29,761.29
"rotterdam, ny",2,3304.80,1652.40
"spring grove, il",6,6267.70,1044.62
"selma, al",5,1286.28,257.26
"deatsville, al",1,1139.40,1139.40
"ossipee, nh",1,119.00,119.00
"twisp, wa",4,3979.34,994.84
"andrews afb, md",1,1079.08,1079.08
"hubbard, or",6,5001.00,833.50
"crozet, va",24,13321.23,555.05
"glen oaks, ny",7,9158.62,1308.37
"rockaway park, ny",2,2064.27,1032.14
"lake winnebago, mo",3,3371.00,1123.67
"monroe, nh",1,99.00,99.00
"new market, md",21,18000.43,857.16
"little neck, ny",20,17373.97,868.70
"galesburg, il",5,3963.38,792.68
"pea ridge, ar",3,5460.34,1820.11
"oakley, ca",16,11740.72,733.80
"ottawa, oh",3,9240.52,3080.17
"big lake, mn",5,3898.78,779.76
"mount crawford, va",2,1436.29,718.15
"clearmont, wy",1,734.00,734.00
"sunbury, pa",4,1450.08,362.52
"cheltenham, pa",9,7673.34,852.59
"pomery, wa",1,236.00,236.00
"opelousas, la",7,5713.39,816.20
"elko, nv",12,18429.08,1535.76
"stevensville, md",10,23355.57,2335.56
"stroudsburg, pa",4,4217.74,1054.44
"post, tx",1,214.34,214.34
"frankenmuth, mi",3,3854.16,1284.72
"franktown, co",8,6607.46,825.93
"queens village, ny",8,7164.91,895.61
"harrisburg, or",2,4896.00,2448.00
"madison, fl",1,528.00,528.00
"syracuse, ut",24,24446.58,1018.61
"islip, ny",5,5823.38,1164.68
"sandia park, nm",2,1089.10,544.55
"tower lakes, il",1,189.13,189.13
"mc intosh, al",8,7687.44,960.93
"liberty, mo",12,12938.00,1078.17
"petoskey, mi",12,11537.01,961.42
"desert hot springs, ca",5,5698.84,1139.77
"sharpsburg, ga",6,6035.87,1005.98
"winchester, oh",1,533.03,533.03
"appling, ga",8,16905.24,2113.16
"castaic, ca",19,14029.39,738.39
"madera, ca",9,12184.93,1353.88
"pomfret, md",3,2926.66,975.55
"beatrice, ne",1,27.54,27.54
"great falls, mt",20,15472.94,773.65
"bardonia, ny",2,1779.52,889.76
"fraser, mi",6,8226.66,1371.11
"alburnett, ia",1,500.76,500.76
"stratford, ct",12,7715.69,642.97
"viejo, ca",1,783.34,783.34
"groveland, ca",2,224.16,112.08
"clairton, pa",4,3827.39,956.85
"providence, ut",13,18541.83,1426.29
"hyannis, ma",10,12037.06,1203.71
"nicollet, mn",1,63.35,63.35
"mary esther, fl",8,6392.23,799.03
"holmes beach, fl",5,2448.00,489.60
"mchenry, il",13,16140.43,1241.57
"oilville, va",1,944.46,944.46
"windham, me",9,7006.27,778.47
"new prague, mn",10,9450.29,945.03
"new baltimore, mi",5,5985.82,1197.16
"clinton, mt",3,1720.00,573.33
"cotuit, ma",4,4398.81,1099.70
"brooktondale, ny",2,1149.12,574.56
"chuluota, fl",5,3320.23,664.05
"kingsville, md",3,3344.30,1114.77
"eastampton, nj",2,2330.83,1165.42
"east berne, ny",6,6865.56,1144.26
"fridley, mn",18,13356.66,742.04
"cobble hill, ny",1,358.20,358.20
"morris, ny",1,21.60,21.60
"clarksboro, nj",2,779.19,389.60
"westville, il",1,1877.60,1877.60
"holtwood, pa",6,3919.99,653.33
"aurora, in",1,500.76,500.76
"kure beach, nc",6,5330.74,888.46
"milford, nj",5,3551.68,710.34
"jemez springs, nm",1,857.82,857.82
"penn valley, pa",13,12376.56,952.04
"port allegany, pa",1,1435.24,1435.24
"tenino, wa",5,4438.80,887.76
"jeffersonville, vt",4,2999.80,749.95
"enid, ok",18,24325.72,1351.43
"sunset, ut",5,4260.34,852.07
"osseo, wi",1,1079.27,1079.27
"smithville, oh",2,539.96,269.98
"moss landing, ca",1,785.50,785.50
"loudonville, ny",8,5349.24,668.66
"paia, hi",1,1785.89,1785.89
"north logan, ut",10,11235.55,1123.56
"dillingham, ak",2,2505.45,1252.73
"nappanee, in",5,3670.10,734.02
"mulberry, fl",3,2271.70,757.23
"columbus, ks",1,497.04,497.04
"west suffield, ct",8,8148.54,1018.57
"kapolei, hi",3,1022.86,340.95
"richmond, vt",9,6354.13,706.01
"gallup, nm",2,2139.74,1069.87
"bermuda dunes, ca",6,6037.15,1006.19
"chatham, ny",6,1746.36,291.06
"crystal river, fl",2,1028.62,514.31
"green mountain falls, co",1,182.74,182.74
"cold spring harbor, ny",15,26677.59,1778.51
"kalama, wa",6,3766.08,627.68
"columbia, pa",3,1936.62,645.54
"leola, pa",6,3936.84,656.14
"lanoka harbor, nj",4,3039.87,759.97
"wellsville, pa",3,2128.58,709.53
"alturas, ca",5,13034.18,2606.84
"south amboy, nj",12,12637.19,1053.10
"whites creek, tn",2,3426.86,1713.43
"waukegan, il",4,4403.01,1100.75
"crystal beach,, fl",1,1262.00,1262.00
"wise, va",2,936.32,468.16
"garberville, ca",8,7634.10,954.26
"san leon, tx",1,733.95,733.95
"waseca, mn",5,4665.30,933.06
"watkinsville, ga",10,10376.86,1037.69
"yulee, fl",11,12980.17,1180.02
"pittsboro, nc",25,19202.04,768.08
"river grove, il",1,864.88,864.88
"la verne, ca",24,19261.36,802.56
"crawford, tx",2,3772.51,1886.26
"kerhonkson, ny",6,5881.68,980.28
"tifton, ga",7,4971.72,710.25
"mendham township, nj",1,1052.39,1052.39
"williston park, ny",5,3071.92,614.38
"jamestown, nc",12,7111.10,592.59
"rutledge, mo",1,857.00,857.00
"ebensburg, pa",4,2037.32,509.33
"milltown, nj",5,6812.48,1362.50
"portsmouth, ri",13,10365.09,797.31
"northville, ny",2,2703.78,1351.89
"hempstead, ny",9,8328.27,925.36
"sun city west, az",8,7149.13,893.64
"orange, tx",4,2772.30,693.08
"cadillac, mi",5,4467.04,893.41
"genoa city, wi",1,778.59,778.59
"haverstraw, ny",8,4119.13,514.89
"geneva, ne",1,376.64,376.64
"franklinville, nj",1,900.98,900.98
"kingsville, mo",1,729.00,729.00
"greenwood, mo",4,2579.00,644.75
"waynesville, nc",16,10316.94,644.81
"mount airy, nc",6,7167.12,1194.52
"breinigsville, pa",8,6910.14,863.77
"westminster station, vt",2,2318.00,1159.00
"carpinteria, ca",29,22302.74,769.06
"enterprise, al",8,5406.48,675.81
"auburn, ny",6,7269.49,1211.58
"exeter, me",2,1143.62,571.81
"kinnelon, nj",6,6058.42,1009.74
"frankfort, ky",14,16896.93,1206.92
"indio, ca",8,5687.62,710.95
"saint francis, wi",7,6037.69,862.53
"colgate, wi",7,8270.88,1181.55
"juno beach, fl",5,2158.00,431.60
"spirit lake, id",1,116.60,116.60
"massillon, oh",7,6387.88,912.55
"decorah, ia",13,11009.97,846.92
"coal valley, il",2,655.57,327.79
"muleshoe, tx",1,182.94,182.94
"new haven, in",3,2795.91,931.97
"broad channel, ny",2,1331.54,665.77
"greendale, wi",1,693.14,693.14
"peckville, pa",2,1416.16,708.08
"milton, fl",9,5848.30,649.81
"tucson, az 85719, az",1,1350.98,1350.98
"logan twp, nj",1,105.56,105.56
"colfax, wi",1,336.55,336.55
"nesbit, ms",1,533.93,533.93
"newport, nc",9,9708.91,1078.77
"san bernadino, ca",1,191.16,191.16
"south londonderry, vt",2,1940.86,970.43
"westminister, co",1,199.03,199.03
"roselle, il",11,9474.31,861.30
"rocky top, tn",1,846.17,846.17
"novelty, oh",2,2754.15,1377.08
"sanford, me",13,14614.82,1124.22
"sagamore beach, ma",4,3846.25,961.56
"morrow, oh",8,6759.19,844.90
"westminster, vt",4,2909.70,727.43
"wilton, ny",1,959.79,959.79
"hughson, ca",5,3508.10,701.62
"selbyville, de",4,4317.00,1079.25
"gate city, va",3,1511.06,503.69
"eustis, fl",5,5430.92,1086.18
"fernley, nv",2,1083.85,541.93
"butler, wi",1,938.70,938.70
"mccall, id",11,7055.54,641.41
"long grove, ia",2,1386.72,693.36
"farrell, pa",2,4223.88,2111.94
"port arthur, tx",1,2188.82,2188.82
"shelley, id",2,2703.00,1351.50
"new richmond, wi",11,9382.40,852.95
"nacogdoches, tx",15,11757.46,783.83
"doylestown, oh",4,3246.30,811.58
"freedom, nh",1,267.00,267.00
"white pigeon, mi",1,1086.50,1086.50
"north providence, ri",11,9910.34,900.94
"freeburg, il",1,910.56,910.56
"windsor mill, md",3,559.68,186.56
"blauvelt, ny",3,4036.97,1345.66
"slidell, la",11,14644.93,1331.36
"lumberton, tx",12,6992.95,582.75
"osterville, ma",5,3794.19,758.84
"sanbornton, nh",3,1921.99,640.66
"bainbridge, pa",2,503.50,251.75
"pittsfield, nh",3,2204.00,734.67
"pittsgrove, nj",1,104.49,104.49
"oreland, pa",7,4495.46,642.21
"prospect heights, il",3,1148.56,382.85
"hamel, mn",2,1420.41,710.21
"casco, mi",1,1612.26,1612.26
"king, nc",2,3123.50,1561.75
"coxsackie, ny",2,2498.04,1249.02
"leoti, ks",1,766.01,766.01
"state college, pennsylvania",1,53.00,53.00
"arroyo seco, nm",3,2921.58,973.86
"sparta, mi",11,7895.94,717.81
"blanco, tx",6,8312.51,1385.42
"lemon grove, ca",5,3065.49,613.10
"niagara falls, ny",15,12111.50,807.43
"west chazy, ny",1,591.84,591.84
"thornwood, ny",4,4272.14,1068.04
"oak point, tx",9,9202.72,1022.52
"pacific beach, wa",5,3260.46,652.09
"buxton, me",4,3731.54,932.89
"los osos, ca",6,5736.81,956.14
"fishkill, ny",8,6606.42,825.80
"walland, tn",1,895.56,895.56
"belleview, fl",4,4723.45,1180.86
"goshen, ny",8,8189.37,1023.67
"plymouth, in",6,3318.28,553.05
"hanoverton, oh",4,4079.80,1019.95
"grove city, oh",27,25908.97,959.59
"hauppauge, ny",24,36355.11,1514.80
"belle isle, fl",8,7295.74,911.97
"west falls, ny",3,1911.83,637.28
"clyde, mi",3,2597.02,865.67
"la plata, md",7,6644.12,949.16
"audubon, nj",3,2441.72,813.91
"warren, oh",15,15050.70,1003.38
"indialantic, fl",10,10591.31,1059.13
"abita springs, la",3,2322.97,774.32
"wilmington, oh",3,3216.42,1072.14
"maple park, il",2,2156.88,1078.44
"niceville, fl",9,5427.58,603.06
"honea path, sc",1,179.14,179.14
"riverdale park, md",1,136.74,136.74
"ravenna, oh",3,2099.34,699.78
"alva, fl",3,2146.22,715.41
"crown point, in",22,25526.18,1160.28
"norman park, ga",1,972.00,972.00
"san luis, az",3,2754.52,918.17
"fort salonga, ny",1,48.88,48.88
"leicester, nc",5,3013.11,602.62
"waterloo, ny",2,213.84,106.92
"richton park, il",1,146.63,146.63
"shelter island, ny",3,4715.41,1571.80
"hayden lake, id",1,7.42,7.42
"hawley, pa",6,8757.72,1459.62
"maryville, il",2,2007.06,1003.53
"black mountain, nc",14,13880.04,991.43
"brownsville, or",2,1497.00,748.50
"bretton woods, nh",1,1301.00,1301.00
"hampden, ma",6,7135.75,1189.29
"willow park, tx",4,4733.77,1183.44
"penn valley, ca",11,8172.16,742.92
"ottertail, mn",1,482.11,482.11
"manasquan, nj",8,9988.64,1248.58
"gulfport, ms",9,6125.10,680.57
"new smyrna beach, fl",28,40122.09,1432.93
"sun lakes, az",6,6762.81,1127.14
"valdez, ak",4,7270.10,1817.53
"ishpeming, mi",4,3329.46,832.37
"drums, pa",7,5951.90,850.27
"lecanto, fl",1,906.00,906.00
"eagleville, pa",7,4568.60,652.66
"morenci, az",3,1965.99,655.33
"weirsdale, fl",1,439.00,439.00
"soddy daisy, tn",8,8543.43,1067.93
"turners falls, ma",3,2092.07,697.36
"ben lomond, ca",4,2813.29,703.32
"southold, ny",7,6467.53,923.93
"barker, ny",1,182.52,182.52
"yarmouth, me",23,22035.21,958.05
"wappingers falls, ny",30,30349.14,1011.64
"redwood falls, mn",2,1614.92,807.46
"semmes, al",1,1000.08,1000.08
"cochecton, ny",1,96.12,96.12
"jackson, wi",5,4036.27,807.25
"richfield, oh",8,3835.53,479.44
"viera, fl",4,5820.70,1455.18
"rehoboth, ma",9,11113.76,1234.86
"john day, or",1,559.00,559.00
"anacortes, wa",20,49551.38,2477.57
"duncan, sc",9,7884.83,876.09
"canon city, co",7,8630.74,1232.96
"lindenhurst, il",10,4476.30,447.63
"castle hayne, nc",2,2229.88,1114.94
"port monmouth, nj",2,2132.50,1066.25
"pioneer, ca",2,1504.19,752.10
"trussville, al",9,4461.48,495.72
"moss beach, ca",6,5341.74,890.29
"whippany, nj",8,6476.41,809.55
"white house, tn",8,7076.51,884.56
"new philadelphia, oh",3,3511.01,1170.34
"wilmore, ky",1,168.54,168.54
"west richland, wa",6,5093.35,848.89
"stephens city, va",11,10727.97,975.27
"joint base lewis mcchord, wa",6,4619.93,769.99
"veradale, wa",2,2341.31,1170.66
"mission, tx",14,16961.45,1211.53
"granby, mo",3,2560.00,853.33
"lambertville, mi",3,2851.40,950.47
"covington, wa",46,35261.44,766.55
"corinth, vt",1,687.94,687.94
"mcfarland, wi",11,8286.78,753.34
"desoto, tx",5,4779.24,955.85
"blackstone, ma",3,1358.94,452.98
"goose creek, sc",14,13707.36,979.10
"jessup, pa",2,3927.30,1963.65
"kearney, ne",12,13278.70,1106.56
"aberdeen, nc",7,7938.33,1134.05
"waynesboro, ms",4,2137.86,534.47
"dunmore, pa",1,189.74,189.74
"bainbridge, ny",2,1626.48,813.24
"southbury, ct",11,8432.58,766.60
"churchville, pa",4,2795.22,698.81
"baldwin, wi",3,2434.65,811.55
"plandome, ny",1,638.71,638.71
"rosedale, ny",3,2352.79,784.26
"christiana, pa",1,179.14,179.14
"garrison, ny",4,3018.24,754.56
"heath springs, sc",1,853.20,853.20
"satanta, ks",1,212.93,212.93
"forestdale, ma",4,2749.74,687.44
"arkansas city, ks",2,3913.65,1956.83
"orange cove, ca",2,11440.89,5720.45
"gilbert, ia",3,3062.02,1020.67
"monmouth beach, nj",4,5042.29,1260.57
"somonauk, il",2,3436.13,1718.07
"union beach, nj",4,4212.76,1053.19
"kamuela, hi",6,11847.95,1974.66
"lockport, ny",12,9435.95,786.33
"boaz, al",2,293.76,146.88
"hawthorne, ny",6,5061.10,843.52
"wood dale, il",15,31734.40,2115.63
"gretna, la",8,4402.11,550.26
"farmington, ar",3,3060.62,1020.21
"essex, ma",3,4405.13,1468.38
"greenwood, ca",1,535.18,535.18
"sabina, oh",1,1016.73,1016.73
"montpelier, vt",19,14001.52,736.92
"smithfield, me",2,513.79,256.90
"plymouth, nh",7,6522.00,931.71
"abingdon, va",7,5243.94,749.13
"highland, mi",5,5645.56,1129.11
"north adams, ma",7,29518.70,4216.96
"east troy, wi",7,7411.38,1058.77
"east glacier park, mt",1,848.00,848.00
"devens, ma",1,857.44,857.44
"woodway, tx",8,5923.25,740.41
"webster groves, mo",25,21356.00,854.24
"boardman, or",7,18704.00,2672.00
"hammond, la",11,23861.43,2169.22
"palmetto, fl",21,17387.60,827.98
"carmel valley, ca",9,6125.59,680.62
"west branch, ia",2,2312.27,1156.14
"hillsboro, nh",1,1776.00,1776.00
"natoma, ks",1,667.44,667.44
"sagamore hls, oh",6,7845.05,1307.51
"hickory creek, tx",10,8909.02,890.90
"leavenworth, ks",5,5934.91,1186.98
"park city, ks",2,406.36,203.18
"ontario, ny",10,12317.40,1231.74
"hereford, az",4,4320.39,1080.10
"haddon heights, nj",6,6911.43,1151.91
"bryn athyn, pa",1,887.22,887.22
"bee cave, tx",22,47528.04,2160.37
"nassau, ny",4,2410.56,602.64
"council bluffs, ia",11,11103.27,1009.39
"clyde, oh",3,2008.80,669.60
"prince frederick, md",6,5649.98,941.66
"winfield, ks",4,2254.62,563.66
"toano, va",4,3981.47,995.37
"east elmhurst, ny",16,10575.60,660.98
"landover, md",2,1107.70,553.85
"longboat key, fl",16,23413.35,1463.33
"bealeton, va",7,2317.65,331.09
"corolla, nc",3,3125.65,1041.88
"jefferson, nc",2,269.64,134.82
"glenwood, ia",6,7089.82,1181.64
"strasburg, co",1,41.30,41.30
"montezuma, ia",1,319.93,319.93
"snoqualmie pass, wa",2,2224.01,1112.01
"lodi, nj",5,3750.00,750.00
"palinview, ny",1,125.00,125.00
"clark, nj",14,7704.73,550.34
"lewiston, id",18,18001.74,1000.10
"south setauket, ny",7,2902.48,414.64
"morristown, tn",3,1918.03,639.34
"greenwood, de",1,1233.00,1233.00
"fayette, me",1,178.30,178.30
"saint croix falls, wi",7,18729.42,2675.63
"valles mines, mo",4,2852.00,713.00
"granite shoals, tx",2,2186.65,1093.33
"ocean breeze, fl",3,1172.94,390.98
"partlow, va",1,180.04,180.04
"kankakee, il",5,7750.95,1550.19
"lanham, md",8,7718.22,964.78
"parlier, ca",4,1303.35,325.84
"gibsonton, fl",5,4004.68,800.94
"marshalltown, ia",4,1420.96,355.24
"wapella, il",2,2205.75,1102.88
"grasonville, md",6,6192.55,1032.09
"fruitland, md",1,867.08,867.08
"monee, il",2,12814.00,6407.00
"helenville, wi",1,695.25,695.25
"leona valley, ca",1,718.32,718.32
"jesup, ia",2,423.72,211.86
"fish creek, wi",4,3691.61,922.90
"storrs manfld, ct",1,84.02,84.02
"saginaw, mi",19,19292.41,1015.39
"corbin, ky",4,3350.56,837.64
"kimberly, id",10,6685.82,668.58
"belton, mo",5,2952.00,590.40
"brentwood, mo",9,8041.00,893.44
"greenbelt, md",22,17976.84,817.13
"hookstown, pa",1,864.96,864.96
"sanborn, ny",2,2579.02,1289.51
"ashburnham, ma",5,3392.56,678.51
"quincy, wa",6,9049.84,1508.31
"rogersville, al",1,322.92,322.92
"montgomery, oh",15,14214.49,947.63
"indian harbour beach, fl",9,10722.80,1191.42
"emlenton, pa",1,179.14,179.14
"carver, mn",12,9192.33,766.03
"allen park, mi",16,21159.72,1322.48
"bartow, fl",1,848.00,848.00
"brandon, ms",18,17429.27,968.29
"byron center, mi",16,15131.47,945.72
"brookville, oh",1,744.98,744.98
"missouri valley, ia",3,6074.39,2024.80
"bonneau, sc",1,192.24,192.24
"gallatin, mo",1,149.00,149.00
"hatfield, ma",2,3217.25,1608.63
"frenchtown, mt",3,1223.00,407.67
"erdenheim, pa",2,309.52,154.76
"piedmont, sc",6,8357.81,1392.97
"williamston, mi",14,8498.01,607.00
"nellis afb, nv",7,92882.20,13268.89
"willsboro, ny",2,365.99,183.00
"aberdeen, nj",6,5046.99,841.17
"kings park, ny",7,11571.82,1653.12
"vestal, ny",6,5420.52,903.42
"cottonwood, ca",6,3405.58,567.60
"meriden, ct",13,15661.11,1204.70
"swanzey, nh",5,3241.00,648.20
"tea, sd",8,8138.30,1017.29
"campbellsville, ky",2,2326.46,1163.23
"ellensburg, wa",29,26811.03,924.52
"palo cedro, ca",3,4425.13,1475.04
"irwin, pa",6,6587.78,1097.96
"hawesville, ky",5,9526.22,1905.24
"eagle point, or",10,11678.00,1167.80
"fayette city, pa",1,1096.04,1096.04
"browns summit, nc",6,2913.20,485.53
"white heath, il",2,275.19,137.60
"phoenix, or",5,2108.00,421.60
"little ferry, nj",6,6106.40,1017.73
"tawas city, mi",1,1178.72,1178.72
"acampo, ca",4,1428.72,357.18
"north berwick, me",4,2544.67,636.17
"bay city, mi",16,15933.92,995.87
"fairview heights, il",6,7221.82,1203.64
"gilberts, il",14,10527.25,751.95
"newman lake, wa",4,5763.89,1440.97
"seal beach, ca",19,17051.05,897.42
"ancramdale, ny",2,2516.40,1258.20
"freedom, ca",1,545.16,545.16
"plattsmouth, ne",10,10576.83,1057.68
"central, ut",3,2216.29,738.76
"jellico, tn",1,737.44,737.44
"ogdensburg, ny",6,8670.68,1445.11
"pittsburg, ks",1,911.24,911.24
"somers point, nj",3,3728.67,1242.89
"atlantic city, nj",4,9045.46,2261.37
"countryside, il",5,8605.97,1721.19
"clyde, nc",3,1760.15,586.72
"pontiac, mi",8,10975.60,1371.95
"shiloh, il",3,1770.14,590.05
"hope mills, nc",6,4471.92,745.32
"sherman, sd",1,2241.53,2241.53
"niantic, ct",8,9973.18,1246.65
"devon, pa",19,13950.66,734.25
"jackson, nh",3,4442.00,1480.67
"montauk, ny",6,5469.30,911.55
"trucksville, pa",1,813.02,813.02
"ropesville, tx",1,778.31,778.31
"jonesboro, ga",3,4029.99,1343.33
"bethlehem, ct",2,869.94,434.97
"hidalgo, tx",7,7056.83,1008.12
"carterville, il",5,3927.00,785.40
"aspen hill, md",1,421.88,421.88
"hazen, nd",1,179.99,179.99
"hainesville, il",2,383.56,191.78
"bourbonnais, il",1,1027.44,1027.44
"standish, me",2,1250.18,625.09
"sea cliff, ny",15,11111.24,740.75
"lincolndale, ny",1,832.32,832.32
"bayville, nj",4,3083.61,770.90
"freeport, il",3,1845.57,615.19
"cheboygan, mi",1,157.94,157.94
"broussard, la",5,2200.77,440.15
"tinley park, il",18,14834.62,824.15
"lake havasu city, az",12,16212.08,1351.01
"shady side, md",4,3541.50,885.38
"homer glen, il",7,6831.88,975.98
"fremont, wi",3,2249.27,749.76
"windsor, ny",3,1589.76,529.92
"mirror lake, nh",3,2896.00,965.33
"selden, ny",8,6755.24,844.41
"sister bay, wi",2,1000.15,500.08
"sunnyvale, tx",5,3866.69,773.34
"millville, ut",2,1705.85,852.93
"clintonville, wi",1,51.70,51.70
"louisville, ne",2,1905.34,952.67
"hughesville, pa",1,1618.00,1618.00
"gravette, ar",1,1386.75,1386.75
"coatesville, in",3,2817.33,939.11
"barnhart, mo",2,1006.00,503.00
"rossmoor, ca",3,2998.35,999.45
"waterloo, il",3,648.81,216.27
"holbrook, ny",9,6999.75,777.75
"oakmont, pa",9,5538.32,615.37
"van buren twp, mi",12,9507.14,792.26
"temple terrace, fl",21,17761.59,845.79
"rowley, ma",3,2797.56,932.52
"sherman, tx",8,8492.21,1061.53
"augusta, wv",2,1419.34,709.67
"manville, ri",3,2198.85,732.95
"red bud, il",1,1046.56,1046.56
"north sioux city, sd",2,9007.91,4503.96
"barboursville, va",3,2168.13,722.71
"roeland park, ks",5,3774.81,754.96
"sand springs, ok",3,3476.44,1158.81
"whitehall, pa",8,9884.48,1235.56
"monongahela, pa",2,1987.75,993.88
"selma, ca",1,161.63,161.63
"glenelg, md",3,3666.54,1222.18
"weatogue, ct",13,10275.53,790.43
"oxford, fl",3,3027.01,1009.00
"trenton, il",3,1334.50,444.83
"zeeland, nd",1,920.85,920.85
"dickinson, tx",10,8508.46,850.85
"newark, il",2,3180.07,1590.04
"dewey, az",2,1692.29,846.15
"racine, wi",17,11434.05,672.59
"oakhurst, nj",3,1536.47,512.16
"brush prairie, wa",9,9152.93,1016.99
"gray court, sc",2,2649.81,1324.91
"mariposa, ca",5,2337.88,467.58
"laona, wi",1,2579.48,2579.48
"wadesboro, nc",2,383.69,191.85
"mcpherson, ks",7,11523.48,1646.21
"vail, az",13,13293.63,1022.59
"plainfield, nj",10,5804.70,580.47
"glenwood, nj",3,1845.68,615.23
"hannibal, oh",1,1274.13,1274.13
"jones, ok",3,4693.06,1564.35
"jericho center, vt",1,613.74,613.74
"kensington, ct",1,731.69,731.69
"north oxford, ma",1,1151.75,1151.75
"ramsey, mn",12,12815.62,1067.97
"lancaster, va",1,250.61,250.61
"norwich, vt",7,2413.34,344.76
"old bethpage, ny",5,5698.46,1139.69
"lisbon, nh",1,665.00,665.00
"richlands, nc",4,3919.41,979.85
"branson, mo",20,17503.00,875.15
"wallkill, ny",9,7483.67,831.52
"rootstown, oh",1,522.16,522.16
"concordia, mo",1,498.00,498.00
"eden, ut",5,3388.03,677.61
"penn yan, ny",3,4532.76,1510.92
"griswold, ia",1,138.03,138.03
"chesterland, oh",5,5435.71,1087.14
"graymoor devondale, ky",1,104.94,104.94
"benton city, wa",3,1406.36,468.79
"huxley, ia",3,1578.25,526.08
"eddyville, ia",2,1278.65,639.33
"lemoyne, pa",2,1118.30,559.15
"laurel, ne",2,3481.57,1740.79
"lincoln park, nj",4,2920.45,730.11
"west glacier, mt",4,8230.50,2057.63
"dayton, nv",4,2610.04,652.51
"little falls, nj",15,8454.29,563.62
"saint clair, mi",3,3474.68,1158.23
"slatington, pa",4,4613.12,1153.28
"terrell, tx",3,4137.31,1379.10
"rock hill, ny",1,268.92,268.92
"lebanon, me",4,4221.07,1055.27
"middlebury, in",3,1509.77,503.26
"sewell, nj",17,12246.94,720.41
"lincoln, nd",1,754.02,754.02
"west harrison, in",1,616.32,616.32
"jackson, la",1,61.63,61.63
"dothan, al",18,14005.93,778.11
"east calais, vt",1,316.94,316.94
"saint simons island, ga",6,3478.92,579.82
"monmouth, il",1,444.13,444.13
"idaho springs, co",4,1911.74,477.94
"union city, tn",4,4330.49,1082.62
"homestead, pa",1,341.33,341.33
"browns mills, nj",3,2465.17,821.72
"research triangle park, nc",7,4469.00,638.43
"damascus, md",6,4589.80,764.97
"millville, de",4,2117.70,529.43
"lanesborough, ma",1,581.19,581.19
"greenwood, me",1,913.63,913.63
"fort myers beach, fl",3,3943.00,1314.33
"vernonia, or",1,986.00,986.00
"mechanicsville, md",6,6570.94,1095.16
"monticello, ar",3,2948.10,982.70
"marshall, mi",7,13777.88,1968.27
"granite city, il",1,95.63,95.63
"liberal, ks",3,2000.41,666.80
"baldwin, la",1,94.01,94.01
"toney, al",3,2107.44,702.48
"trinidad, co",1,1517.60,1517.60
"lake junaluska, nc",1,1512.98,1512.98
"rocky face, ga",3,2991.18,997.06
"lyle, wa",2,3008.84,1504.42
"linwood, nj",3,3366.14,1122.05
"jamestown, ny",15,20449.47,1363.30
"harvey, la",1,134.74,134.74
"maxton, nc",3,1139.55,379.85
"alliance, oh",7,6623.32,946.19
