ship_city_state,transaction_count,sum_trans_amount,avg_trans_amount
"darien, ct",76,69350.41,912.51
"versailles, ky",16,11492.00,718.25
"shelby township, mi",48,45319.29,944.15
"lakeville, mn",90,89695.45,996.62
"ossining, ny",26,11299.41,434.59
"poulsbo, wa",35,36817.55,1051.93
"belmont, mi",8,8864.35,1108.04
"clinton, ma",13,9405.63,723.51
"healdsburg, ca",20,19213.34,960.67
"marysville, wa",35,32301.91,922.91
"reston, va",219,249584.71,1139.66
"port washington, wi",6,4036.44,672.74
"snohomish, wa",98,99084.23,1011.06
"pinckney, mi",18,12146.47,674.80
"montclair, nj",144,116573.18,809.54
"castle rock, co",118,109235.33,925.72
"lubbock, tx",102,99134.21,971.90
"bloomington, il",69,55782.08,808.44
"louisville, co",86,83173.14,967.13
"sugar grove, nc",1,1362.13,1362.13
"new orleans, la",217,177092.07,816.09
"chadds ford, pa",15,14737.18,982.48
"milwaukee, wi",235,207981.26,885.03
"getzville, ny",2,1785.68,892.84
"midlothian, va",119,107546.89,903.76
"erie, co",116,100427.22,865.75
"holden, me",2,2118.44,1059.22
"plantation, fl",74,64584.41,872.76
"murray, ut",53,52020.91,981.53
"emeryville, ca",98,143869.72,1468.06
"annapolis, md",107,108211.56,1011.32
"grants pass, or",49,44181.40,901.66
"bear river city, ut",1,1159.67,1159.67
"berkeley, ca",521,439530.65,843.63
"kennebunk, me",21,15678.14,746.58
"newark, nj",30,26861.32,895.38
"gilbertsville, pa",6,2973.30,495.55
"des peres, mo",16,9612.19,600.76
"milton, ga",44,31742.92,721.43
"huntsville, al",185,238659.75,1290.05
"ooltewah, tn",33,24782.14,750.97
"santa paula, ca",13,13875.37,1067.34
"jersey village, tx",4,3564.65,891.16
"laguna niguel, ca",69,69493.36,1007.15
"boise, id",450,476694.31,1059.32
"wingdale, ny",2,3032.47,1516.24
"drayden, md",1,1158.58,1158.58
"san leandro, ca",100,94972.50,949.73
"lenexa, ks",80,67638.12,845.48
"mount airy, md",26,23762.23,913.93
"new hartford, ny",13,14855.91,1142.76
"reno, nv",343,345513.82,1007.33
"merrick, ny",26,14246.16,547.93
"corrales, nm",16,9568.07,598.00
"terre haute, in",22,20152.56,916.03
"taft, ca",2,2327.33,1163.67
"georgetown, ma",6,2477.19,412.87
